sample_id,HMDB00001,HMDB00008,HMDB00042,HMDB00043,HMDB00060,HMDB00062,HMDB00064,HMDB00092,HMDB00094,HMDB00097,HMDB00108,HMDB00122,HMDB00123,HMDB00131,HMDB00142,HMDB00148,HMDB00157,HMDB00158,HMDB00159,HMDB00161,HMDB00162,HMDB00167,HMDB00168,HMDB00169,HMDB00172,HMDB00177,HMDB00182,HMDB00187,HMDB00190,HMDB00191,HMDB00201,HMDB00208,HMDB00214,HMDB00243,HMDB00254,HMDB00271,HMDB00294,HMDB00357,HMDB00407,HMDB00452,HMDB00491,HMDB00517,HMDB00562,HMDB00641,HMDB00687,HMDB00691,HMDB00695,HMDB00696,HMDB00754,HMDB00863,HMDB00883,HMDB01659,HMDB01873,HMDB01875,HMDB01881
R21,9.1,58.2,403,172.6,0.7,11.2,170,0.7,179.5,14.6,15.7,3766,297,208,49.9,134.8,1.8,28.4,30.4,214,59.4,47.3,18.8,27.8,65.1,37.6,63.8,90.7,3753,3.6,3,12.8,47.4,25.1,2.2,2,963,266,2.7,0.1,2.3,27.5,95.7,161.8,60.9,4.1,3.3,14.8,0.5,144.1,164,62.9,13.8,15.8,7
Y3660,9.7,22.8,392,163.1,1.5,14,78,0.6,132.2,23.5,22.1,6571,210,191,45.9,202.1,1.4,25.4,35.6,251,55.9,44,13.7,62.7,65.2,37.4,56.6,79.6,5893,6.7,2.3,31.4,43.5,25.4,4.4,1.6,450,300,3.6,8.2,2,64.6,106.3,185.4,71.7,4.3,1.7,12.8,0.6,108,193,52.4,11.9,71.1,15.3
Y3243,9.3,9.1,606,165.2,1.4,9.2,163,0.8,80.9,27.9,17.6,4065,400,313,59.5,159,0,25.2,25,177,59.8,37.7,18.5,35.1,51,33.5,52.4,122.6,2896,9.1,2.4,15.4,44.9,10.2,4.8,2.3,844,351,1.4,0,1.6,25.1,86.7,163.1,51,4.5,1.7,9.8,0.7,85.9,144,23.8,10,17.7,12.5
R5764,NA,6.3,403.2,209,7.5,14.8,231.4,1.2,245.6,20,28.9,6188.9,359.5,133.3,45,202.2,NA,43.4,50.7,545.4,97.3,67.9,38.4,80,97.8,NA,64.4,88,7419.2,NA,2.6,24.3,NA,63.1,NA,NA,NA,350.6,NA,NA,NA,NA,128.1,251.5,99.5,6.7,NA,6,0.9,49.8,218,18.1,19.9,12.4,1.8
P4669,12.4,17.9,239,84.6,1.6,10.2,235,0.4,55.4,52,22.5,3889,337,250,37.9,126.4,0,42.8,47.1,328,64.6,28.2,9.2,51.6,69.5,28.8,84.3,85.1,7614,9.8,3.7,11.7,46.4,14.1,13.3,2.4,1372,245,0.5,1.2,1.5,56.8,79.9,110.1,118.7,4.8,1.6,18,2.3,137.1,150,59.6,9.3,15,5.5
R5452,NA,4.7,615.7,179.4,6.1,9.5,149.2,0.9,149.5,17.6,21.8,5144.2,164.6,169.2,55.5,117.3,NA,43.2,46.3,240.8,51.3,48.1,29.6,65.5,60.3,NA,36.7,39.7,3320.4,NA,2.2,13.9,NA,28.5,NA,NA,NA,293.8,NA,NA,NA,NA,97.6,181.7,73.8,4.8,NA,6.5,0.6,32.3,182.5,25.8,14.8,11.7,2.7
R545,10.8,16.1,271,118.5,1.6,13.4,281,0.8,150.8,42.9,26.8,6183,393,260,39,218.7,1.4,27.4,30.9,329,73.4,41.8,14,33.7,57.6,41.2,61.3,116.9,11503,5.4,4.4,30.5,72.7,33.8,15.8,2.1,1116,83,1,1.4,0.6,5.4,110,177.6,78.9,6.2,2,17.5,0.4,49.9,182,63.3,10,26.1,5.5
Y3551,NA,3.6,193.6,135.4,8.1,12.2,108.2,1.1,119.3,40.2,22,5410,238.2,136.1,36.1,170.4,NA,32.3,40.1,276.7,53,52.9,38,68.3,50,NA,92.8,72.1,4691.5,NA,2.5,15.8,NA,21,NA,NA,NA,115.3,NA,NA,NA,NA,125,164.9,87,7.2,NA,10.6,1.4,52.2,180.2,90.3,10.7,12.8,4
G3473,10.2,46.4,1101,295,1.8,10.3,296,1,319.7,23.9,29,5807,180,343,45,157.7,0,40.9,34.8,330,68.3,48.7,14.3,24.9,59.9,25.8,37.8,53.9,15999,5.8,7,39.7,45.1,59.5,15.6,2.5,1124,379,1.5,0,2.4,6.2,138.9,208.2,60.8,5.7,2,17.4,0.1,37.5,156,21,20.3,30.2,18.3
G3474,10.6,32.6,912,333.7,1.4,10.4,257,0.9,270.5,20.4,11.5,4442,173,182,63.1,137.5,0,44.5,33.9,202,75.6,48.8,13,30.9,63.6,33.2,45.6,71,3095,8.1,4.7,14.4,42.9,19.6,2.6,3.8,1229,332,1.7,1.1,1.7,12.7,100.7,167.5,68.2,5.9,1.2,15,1.1,11.1,156,12.1,17.8,68.3,21.3
G3315,14.6,119.9,2836,337.8,2,8.8,260,0.9,328.3,23.2,20.2,4297,288,189,57.1,146,0,33.6,28.9,197,47.3,38.4,11,38,59.3,42.1,35.9,82.8,4044,4,7.8,22.6,32.7,25.6,0.2,5.7,1248,1236,1.1,1.4,1.6,0,86.4,187.5,69.3,5.1,3.3,11.4,0.5,17.5,158,37.6,32.5,16.4,21
G3594,13.2,43.3,1750,278.8,1.9,15.3,286,1.4,257.6,28.6,18.2,5433,272,146,62.6,269.4,0,45.7,43,324,70.5,61.6,23.6,54.5,114.4,46.4,146.9,111.4,3695,14.2,4.7,16.2,52,15.7,4.5,3.8,1625,1247,1.4,1.7,2.6,100.9,101.8,275,111.8,6.4,0.7,20.8,0,22.4,232,19.6,16.1,73.6,7.2
G3742,10.9,60.5,1186,328.1,1.4,10.3,198,0.8,166.5,33.8,16.7,4729,182,165,58.2,196.8,1.6,46.2,34.6,164,44.8,37.2,10.6,48.3,59.3,14.7,48.8,73.2,2629,15.6,3.4,12,49.9,8.2,11.5,6.2,1067,669,0.8,0,3.8,72.2,80.9,194.2,48.3,7.9,3,13.5,7.6,44.7,140,30.7,18.3,20.3,12.2
R9535,NA,26.5,358.6,166.2,1.3,20.2,213.3,1.3,158.2,88.6,15.6,5223.4,390.3,160.6,35.5,349,NA,45.8,51.1,424,78.6,57.2,40.7,60.5,97.5,NA,144.3,85.9,6285.8,NA,2.3,6.5,NA,7.2,NA,NA,NA,249.4,NA,NA,NA,NA,100.1,149.1,121.5,11.9,NA,16.3,1.5,30,215.8,25.2,12,19.7,2.8
R5528,NA,44.2,1338.9,240.6,0.8,14.3,290.7,1.3,179.7,20.3,20.8,5074.9,226.4,179.9,57.2,286.6,NA,48.4,37.9,438.7,71.3,69.7,39.2,57.4,132.9,NA,78.7,115.3,15407.9,NA,9.4,36.2,NA,65,NA,NA,NA,697.5,NA,NA,NA,NA,82.3,360.5,107.9,4.3,NA,18.4,0.4,57.7,243.1,38.2,26.6,22,NA
R9332,NA,4.7,183.4,251,0.5,22.4,157,1.2,65.5,27.6,36.4,5139.3,267,156.1,34.5,160.4,NA,28.7,48.2,334.7,58,29.4,24.4,108.5,64.1,NA,64.3,61.9,7191.4,NA,5.6,24,NA,28.8,NA,NA,NA,114.3,NA,NA,NA,NA,74,164,93.8,4.6,NA,9.3,0.6,667.2,171.6,60.5,11,11.4,35.7
Y3460,14,15.6,321,168.4,2.3,19.5,285,1.1,232,29.3,24.4,6920,399,351,57.1,216.8,0.9,31.4,32.1,341,50.9,54,18.8,39.7,63.8,33.5,56,110.3,7006,7.7,4,26.4,61.7,27,17.9,1.7,1371,96,1.7,1.4,2.1,75.6,107.4,227.1,72,6.9,2.3,16.6,1.6,63.8,174,47.5,13.2,16.3,6
U6450,NA,4.5,409.3,136.7,7.8,12.4,190.2,1.1,178.2,22.1,24.5,5118.2,211.1,185.6,49.6,143.8,NA,41,48.5,260.8,57.9,83.7,36.1,68.2,80.7,NA,69.8,59,3668.5,NA,2.4,18.5,NA,30.8,NA,NA,NA,277.7,NA,NA,NA,NA,83.7,191.2,131.1,4.5,NA,8.3,1.6,27.8,225,17.9,13.3,12.9,2.3
R502,12.1,10.5,315,115,1.5,13.6,288,1,169.8,43.6,22,5529,397,339,47.6,175.9,1.3,25.2,30.8,195,61,48.6,15.5,49.2,41.9,44.5,44.9,109.9,2771,7.6,3.9,18.9,45.8,24.7,8.5,1.6,1087,113,1.1,1.2,0.9,33.9,120.2,194.2,70.5,5,2.3,11.7,0.7,111.6,161,84.2,10.6,17.5,8.5
R9362,NA,5.3,382.6,191.4,6.4,21,271.8,1.4,184.1,26,32.5,5034.6,369.8,276.2,53.7,195.4,NA,35.4,34.8,375.1,78.1,41.7,42.3,49.8,68.3,NA,65,103.7,13092.3,NA,6.2,41.3,NA,59.2,NA,NA,NA,215.3,NA,NA,NA,NA,121,252.2,70.9,7.6,NA,27,1.3,42.2,155.6,19.7,11.2,27.3,2
O5074,41.1,36.2,436,408.6,2.2,21.8,145,0.9,430.4,20.9,15.8,5153,202,251,46.8,151,1.2,30.3,39.5,203,80.2,30.6,17,39.5,69.7,42.6,74.4,70.8,4008,4.7,4.9,9.2,47.8,20.8,10.1,1.5,3211,212,3.7,1.2,0.8,87.4,351.2,149.4,84.8,11.6,1.5,15.9,3,30,163,25.1,16.4,15.5,1.7
R107,7.4,17,216,54,5.1,13.7,189,0.7,35.4,21.5,20.1,4189,190,255,44.9,118.6,1.2,35.7,50.9,193,64.8,27.4,15.4,94.2,47.8,25.4,43.6,83.2,3844,7.8,4,15.4,44.7,10.3,11.7,1.5,995,74,0.7,1.1,1.2,38.8,84,127.5,72.1,5.8,1.9,10.7,0.3,57.2,150,61,7.8,13.8,7.4
O4946,7.4,21.1,786,266.5,1.6,12.6,212,0.8,240.7,20.4,15.1,5184,212,170,61.4,181.1,2,44.2,41.6,250,57.5,56.8,21.1,42.1,75.5,38.9,59.7,87.5,3363,7.8,3.3,17.4,61.8,29.7,3.4,2.2,545,418,2.4,1.4,2.4,78.9,76.9,212.5,91.9,4.9,1.4,25.5,0,32.7,199,21.5,12.8,18.2,3.1
U5420,10,26.4,391,131.3,1.6,12.2,202,0.8,224.8,48.3,14.7,6936,399,185,38.4,175,0,45.4,38.9,303,70.3,17.9,18.4,41.8,60.8,38.6,65.7,59.1,9321,8.3,4.2,23.6,46.1,23.4,17.6,2.5,755,211,2.5,1.3,1.7,39.4,96.8,171,91.9,5.1,2.6,22,0.4,57.9,174,12,14.6,69.3,1.8
U5452,16.1,12.9,1049,374.2,1.7,8.3,210,0.9,206.1,20.7,12,4485,220,202,40.3,167.5,0,42.1,35.3,274,64.6,36.8,15.6,41.2,60.1,25.2,55.3,69.3,6847,8.7,4,19.6,46.9,33,3.6,4.8,1076,441,4,1.2,2.4,2.6,97.2,198.6,78.2,5.5,2.5,19.8,0.4,16.7,138,33.6,19,13.3,16.3
U5523,10.4,17.9,278,138,0.9,14.2,190,0.7,162.7,33.3,12,5122,271,174,36.4,177.6,1.4,36.9,37.7,304,66.7,35.9,13.4,47.4,74.2,32,78.7,75.7,7499,5.1,5,29.9,61.3,18.2,17.4,1.5,741,132,1.9,1.3,2.4,0.9,90.8,145.8,99.9,7.1,1.7,19.8,0.7,76.4,181,27.9,11,15.5,1.6
O4875,15.6,41.1,803,113.8,2.1,11.6,300,1,232.7,27.1,18.1,5029,351,169,76.3,192.7,1.8,67.5,46.4,270,66.4,59.8,22.6,35.2,96.5,45.1,128.2,122.8,4077,19.4,3.7,8.3,76.1,17.1,13.2,2.4,879,348,2.5,1.5,2.2,107.3,116.9,219.3,113.4,10.8,1.7,24.3,7.3,17.2,215,36.6,14.2,22.6,3.3
U5250,13,23.7,535,172.1,1.7,20.1,238,1,187.4,84,15.9,5068,434,194,46.1,252.5,0,70.2,61.4,342,114.7,61.4,27.4,49.2,102.7,51.9,133.5,113.1,4736,18.5,3.4,17,67.6,17.1,19.6,1.9,534,247,1.8,1.8,2.2,72.2,103.8,245.9,153.8,7.6,2,33.3,1.2,20,260,13.7,12.9,65.4,0.7
U6325,NA,47.5,493.5,157.9,0.6,10.3,224,1.2,197.2,27.3,22.7,5203.6,197.9,142.3,39.8,207.3,NA,31,46.5,291.5,49.4,43.1,28.5,65,69,NA,36.9,96.1,8432,NA,2.9,27.8,NA,30.3,NA,NA,NA,351.8,NA,NA,NA,NA,100.1,117.9,89.9,4,NA,11.4,0.9,36.5,172.9,24.6,15,10.2,2.9
U6623,NA,59.3,530.5,166.4,5.8,11.7,186,0.8,211.1,20.9,27,4958.6,226,143.3,38.5,217.7,NA,42.9,24.3,336.3,53.4,48.5,33.4,72.3,71.7,NA,66,89.7,6596.6,NA,1.9,18.1,NA,34,NA,NA,NA,320.1,NA,NA,NA,NA,118.9,210.8,96.5,4.5,NA,14.6,0.6,27.3,163.4,25.3,14.7,12.1,2.5
U5476,10.3,28.4,359,185.4,1.5,14.9,255,1,199.3,47.4,20.1,4887,334,150,50.5,198.4,0,34.3,52.7,302,81.7,31,14.3,42.6,56.8,41.4,50.1,92.3,6634,6.9,4.4,26,47.2,19.6,16.3,1.7,798,214,2,1.2,1.9,44.5,110.7,195.9,86.3,7.2,2.1,26.4,0.5,28.8,156,16.5,12.7,70.5,4
U5378,11.4,56.2,979,127.6,2,9.4,131,0.5,222.3,22.7,15,7168,271,206,41.3,221.2,0,51.1,40.5,342,72.2,67.8,27.5,38.1,84.5,31,75.3,76.6,11323,9.5,5.8,31.5,60,49.1,16.4,1.2,752,459,2.1,1.6,1.7,9.7,114.6,245.7,108.1,5.6,1.6,18.8,9.8,21.2,210,27.5,17.5,22.5,2.3
O5084,12.7,39,595,142.8,1.6,14.9,203,0.8,227.2,20.1,15.9,5494,299,159,61.7,240.3,0.8,43.9,57.9,287,76.1,46.9,33.6,39.6,80.1,35.2,64.8,117,6047,18.3,4.5,12.6,57.3,18.4,15.2,1.8,638,220,1.8,7.2,1.8,26.8,135.4,257.4,101.3,6.1,3,25.2,1.3,20.5,221,18.9,13.7,14.7,0.3
U5080,11.6,23.5,562,203,5.8,13.9,163,0.7,181.9,23.1,19.3,5803,233,276,42.2,147.6,0,52.8,45.1,300,78,62.2,17.5,35.6,70.4,35.4,70.5,82.7,4892,12.3,3.8,14.9,44.7,17.2,13.6,2.1,543,279,2.1,1.3,2.2,67.8,101.6,196,97.6,5.9,1.4,22.9,0.7,86.9,182,34.9,13.1,16.9,2.1
Y2992,19.6,12.3,322,319.5,2,15.2,94,1.7,154.2,64.3,25.7,7712,347,292,36.8,202.1,2.3,35.2,37.7,329,76.7,55.1,18.4,32.5,67.6,42,145.3,115,6677,8.8,2.7,21.5,93.8,24.8,17.5,2.2,1091,117,2.1,1.5,1.8,26.4,120.9,161.9,102.4,8.4,3.2,19.8,1.8,31.2,213,13.6,10.5,16.3,4.4
R1091,13.9,13.4,635,126.8,1,11.6,218,0.9,158.9,21.7,9.7,5552,403,165,46.1,159.9,0,106.9,62.2,268,107.1,80.5,30.6,45.5,107.8,53.2,90.2,131.6,3755,20.3,1,7.5,72.5,27.2,2.6,3.1,771,289,0.9,1.9,1.9,62.7,104.8,204.9,189.3,5.7,1.5,40.9,1.6,148.3,262,33.9,14.2,15.9,17.7
R9819,NA,10.4,892.3,93.4,4.3,6.6,138.9,1.1,170.9,19.5,10.8,3562.2,194.1,174.1,66.5,116.8,NA,34.2,36.8,188.9,25.3,46.1,23.9,52.6,58.4,NA,29.1,73.2,3684.2,NA,2.3,12.8,NA,18.1,NA,NA,NA,368.6,NA,NA,NA,NA,110.5,103.8,63.6,2.7,NA,10.3,1.4,73.2,135.3,41.7,18.8,24,51
R5644,NA,50.6,1431.2,267.9,4.5,10.3,214.3,1,117.3,12.8,7.3,4034.5,124.3,122.4,30.8,177.7,NA,37.5,36.7,204,42.4,42.4,24.7,65.5,76.5,NA,54.4,81,5211.9,NA,4,18.5,NA,17.6,NA,NA,NA,689.5,NA,NA,NA,NA,72.6,168.9,58.6,5,NA,14.3,0.9,79.3,141.7,67.3,19.1,10.7,7.8
R5783,NA,42.4,957.5,137.4,0.2,8.9,160.7,1,140.2,20.6,15.1,3083.7,148.6,127.5,46.9,127.9,NA,21.4,26.9,194.7,44.8,47.4,20.3,51.4,39.7,NA,45,60.9,2531.2,NA,2.7,13.3,NA,6.9,NA,NA,NA,518.2,NA,NA,NA,NA,82.1,157.9,45.2,8.1,NA,11.5,0.7,59.7,119.5,40.4,19.4,11.5,11.5
R9436,NA,57.8,1084.9,217.1,5.5,10.5,235.1,1.1,222.8,25.9,6.3,4790.6,156.8,159.7,66.9,194.1,NA,53.6,40.6,269.8,52.9,35.4,38.5,70.2,102.5,NA,75.2,86.8,4466,NA,3.9,20.3,NA,25.1,NA,NA,NA,531,NA,NA,NA,NA,103.7,194.3,79.9,6.4,NA,7.3,1.7,88.8,168.3,65.8,22,21.2,3.9
P4475,10.5,17,578,67,1.8,8.8,189,0.7,165,36.3,26.2,5451,293,196,41.4,178.8,1.4,71.1,43.5,355,99.6,51.6,22.1,26.3,75.6,46.3,72.9,85.5,4833,7.8,2.3,12.9,74.9,24,11,4.1,1021,242,1.7,0.1,1.9,8,86.6,195.5,132.4,6.8,1.8,29.3,5.7,56.7,231,26.8,15.4,27.4,45.4
G3723,8.8,39.3,863,193.7,1.5,11.7,218,0.9,245.7,22.4,10.5,4585,154,211,50.6,145.3,0,33.1,29.2,163,67.9,31.6,9.9,30.7,58.2,31.7,41.1,80.3,2843,5.9,3.1,14,42.8,10.7,3.3,2.3,1227,427,1.6,0,2,10.8,94.3,170.2,51,5.4,2.5,14.8,0.5,28.3,137,22.5,18.6,71.8,2.9
R1122,10.1,23.3,406,136.9,1.3,12.6,210,1,229.9,21.9,14.7,5694,353,188,44.8,159.1,0,81.5,53.4,306,75.1,50.6,19.5,67.5,71.5,53.9,49.9,108.9,4955,11.1,2.3,11.3,76.6,31.7,8.3,2.6,937,222,1.4,0.1,1.3,0,98.7,190.1,145.9,7.6,1.8,30.4,1.3,21.3,228,24.1,19.5,74,27.1
R5697,NA,63,954.3,287.3,5.3,11.2,259.5,1.2,206.5,23.5,5.3,4939.2,206.6,189.8,57.1,217.9,NA,43.8,43.2,314.8,67.5,54.3,32.7,63.3,81.9,NA,53,66.3,5029.8,NA,3.8,19.9,NA,18.9,NA,NA,NA,560.2,NA,NA,NA,NA,96.5,190,79,4.8,NA,9.7,0.9,124.3,155.1,69.3,17.8,19.1,3.7
