animal_id,feedlot,gender,status,day_on_feed,rnaseq_batch,geno_comp_1,geno_comp_2,geno_comp_3,geno_comp_cluster
R21,F1,female,Control,31,B2,0.007853,0.820691,0.171456,K3
Y3660,F1,male,Control,19,B2,0.85222,0.093585,0.054195,K2
Y3243,F1,male,Control,16,B2,0.044171,0.190262,0.765567,K1
R5764,F2,male,Control,46,B1,0.213094,0.676299,0.110607,K3
P4669,F3,male,BRD,35,B2,0.389393,0.503471,0.107136,K3
R5452,F2,male,Control,49,B1,0.265998,0.733992,1e-5,K3
R545,F1,female,Control,21,B2,0.457354,0.481848,0.060798,K3
Y3551,F1,male,Control,16,B1,0.635083,0.194424,0.170493,K2
G3473,F2,female,Control,37,B2,0.757534,0.178733,0.063733,K2
G3474,F2,female,Control,37,B2,0.291464,0.262593,0.445943,K1
G3315,F2,female,Control,40,B2,0.305425,0.57952,0.115055,K3
G3594,F2,female,Control,32,B2,0.098287,0.047277,0.854436,K1
G3742,F2,female,Control,23,B2,0.301312,0.698678,1e-5,K3
R9535,F2,male,Control,38,B1,0.354367,0.033276,0.612357,K1
R5528,F2,male,Control,48,B1,0.247752,0.658215,0.094033,K3
R9332,F2,male,BRD,34,B1,1e-5,0.99998,1e-5,K3
Y3460,F1,male,Control,16,B2,0.083984,0.819573,0.096443,K3
U6450,F4,male,Control,28,B1,0.39909,0.4946,0.10631,K3
R502,F1,female,Control,22,B2,0.95166,1e-5,0.04833,K2
R9362,F2,male,Control,42,B1,0.028052,0.961311,0.010637,K3
O5074,F4,female,Control,22,B2,0.656355,0.232239,0.111406,K2
R107,F1,female,Control,27,B2,0.647609,0.302055,0.050336,K2
O4946,F4,female,Control,24,B2,0.699435,0.185509,0.115056,K2
U5420,F4,male,Control,48,B2,0.880573,1e-5,0.119417,K2
U5452,F4,male,Control,53,B2,0.694148,0.272516,0.033336,K2
U5523,F4,male,Control,45,B2,0.188803,0.811187,1e-5,K3
O4875,F4,female,Control,24,B2,1e-5,1e-5,0.99998,K1
U5250,F4,male,Control,50,B2,1e-5,0.99998,1e-5,K3
U6325,F4,male,Control,32,B1,0.680055,0.25491,0.065035,K2
U6623,F4,male,Control,28,B1,0.177807,0.800044,0.022149,K3
U5476,F4,male,Control,46,B2,0.397085,0.517139,0.085776,K3
U5378,F4,male,Control,54,B2,0.974248,1e-5,0.025742,K2
O5084,F4,female,Control,22,B2,0.953582,0.016697,0.02972,K2
U5080,F4,male,Control,50,B2,0.328481,0.424375,0.247144,K3
Y3005,F2,male,Control,23,B1,0.874385,0.091683,0.033932,K2
Y2992,F1,male,Control,15,B2,0.277135,0.581565,0.1413,K3
R1091,F3,female,Control,53,B2,0.039747,0.960243,1e-5,K3
R9819,F2,male,Control,36,B1,0.63616,0.352362,0.011478,K2
R5644,F2,male,Control,49,B1,1e-5,1e-5,0.99998,K1
R5783,F2,male,Control,49,B1,0.245997,0.753993,1e-5,K3
R9436,F2,male,Control,45,B1,0.013935,0.986055,1e-5,K3
P4475,F3,male,Control,50,B2,0.511822,0.14839,0.339788,K2
G3723,F2,female,Control,26,B2,1e-5,0.766748,0.233242,K3
R1122,F3,female,Control,53,B2,0.202142,0.758591,0.039267,K3
R5697,F2,male,Control,49,B1,0.009627,0.087275,0.903098,K1
P4467,F3,male,Control,50,B2,0.032232,0.50551,0.462259,K3
R9313,F2,male,Control,48,B1,0.392819,0.450694,0.156487,K3
R5564,F2,male,Control,51,B1,0.85034,0.100644,0.049017,K2
R5921,F2,male,Control,48,B1,0.127835,0.793084,0.079082,K3
R5291,F2,male,Control,57,B1,0.871561,0.098277,0.030162,K2
O4492,F4,female,BRD,15,B2,0.145692,0.309301,0.545007,K1
R5638,F2,male,Control,50,B1,0.232579,0.726539,0.040882,K3
R1011,F3,female,Control,60,B2,0.163427,0.577954,0.258619,K3
P4687,F3,male,Control,47,B2,0.252774,0.436325,0.310902,K3
R98,F1,female,Control,46,B2,0.004937,0.125915,0.869148,K1
R9265,F2,male,Control,48,B2,0.398471,0.47474,0.126789,K3
Y9747,F3,male,Control,60,B2,0.058398,0.902334,0.039268,K3
R1027,F3,female,Control,60,B2,0.187258,0.47019,0.342552,K3
P4746,F3,male,Control,46,B2,0.246872,0.362762,0.390366,K3
R9357,F2,male,Control,45,B1,0.141746,0.707245,0.151009,K3
U6792,F4,male,BRD,28,B2,0.677688,0.174058,0.148255,K2
O2608,F4,female,BRD,54,B2,1e-5,1e-5,0.99998,K1
U5669,F4,male,BRD,44,B2,0.45924,0.534601,0.006159,K3
R35,F1,female,BRD,24,B2,1e-5,1e-5,0.99998,K1
R5327,F2,male,BRD,38,B1,0.14073,0.809396,0.049874,K3
R9777,F2,male,BRD,17,B1,0.417045,0.537527,0.045428,K3
R9887,F2,male,BRD,14,B1,1e-5,1e-5,0.99998,K1
R5913,F2,male,BRD,18,B1,0.174709,0.091925,0.733366,K1
R5969,F2,male,BRD,24,B1,0.110663,0.625823,0.263514,K3
R9497,F2,male,BRD,35,B1,0.153716,0.744505,0.101779,K3
R9489,F1,female,BRD,32,B2,0.050555,0.020515,0.928929,K1
G3630,F2,female,BRD,10,B2,1e-5,1e-5,0.99998,K1
G1979,F2,female,BRD,56,B2,0.8869,0.057141,0.055959,K2
G2500,F2,female,BRD,49,B2,0.713105,0.264258,0.022637,K2
R8788,F1,female,BRD,20,B2,1e-5,1e-5,0.99998,K1
R119,F1,female,BRD,18,B2,0.195095,0.00355,0.801355,K1
R1008,F3,female,BRD,49,B2,0.2751,0.543733,0.181167,K3
R5725,F2,male,BRD,31,B1,0.040135,0.82318,0.136685,K3
G3030,F2,female,BRD,26,B2,0.079023,0.920967,1e-5,K3
G3635,F2,female,BRD,11,B2,0.722462,0.198872,0.078666,K2
G3754,F2,female,BRD,18,B2,0.686823,0.17239,0.140787,K2
R5321,F2,male,BRD,32,B1,0.013339,0.953433,0.033228,K3
R5696,F2,male,BRD,31,B1,0.177207,0.252175,0.570617,K1
R9836,F2,male,BRD,13,B1,0.95961,0.00401,0.036381,K2
Y9816,F3,male,BRD,47,B2,0.920942,0.016841,0.062216,K2
U6974,F4,male,BRD,14,B2,0.048434,1e-5,0.951556,K1
O5003,F4,female,BRD,11,B2,0.207406,0.772669,0.019925,K3
Y9745,F3,male,BRD,47,B2,0.65957,0.312302,0.028128,K2
Y3552,F1,male,BRD,23,B2,0.818476,0.133968,0.047556,K2
R9877,F2,male,BRD,19,B1,0.192733,0.760589,0.046678,K3
O4474,F4,female,BRD,14,B2,0.263669,0.670016,0.066315,K3
R8966,F1,female,BRD,20,B2,1e-5,1e-5,0.99998,K1
O4919,F4,female,BRD,11,B2,0.907325,0.056787,0.035888,K2
Y3735,F1,male,BRD,19,B2,0.074063,1e-5,0.92592699999999994,K1
Y2904,F1,male,BRD,19,B2,8.2e-5,1e-5,0.999908,K1
R5700,F2,male,BRD,21,B1,1e-5,1e-5,0.99998,K1
R5979,F2,male,BRD,30,B1,0.286733,0.107794,0.605473,K1
P4693,F3,male,BRD,35,B2,0.398342,0.474765,0.126893,K3
P4666,F3,male,BRD,35,B2,0.166873,0.681128,0.151999,K3
G3550,F2,female,BRD,23,B2,0.855834,0.07614,0.068027,K2
R9986,F2,male,BRD,13,B1,0.021311,0.034623,0.944066,K1
R5994,F2,male,BRD,24,B1,0.129271,0.034351,0.836377,K1
R50,F1,female,BRD,28,B2,0.199623,0.023538,0.776839,K1
G3614,F2,female,BRD,22,B2,0.550201,0.137406,0.312393,K2
R5242,F2,male,BRD,40,B1,0.442408,0.427245,0.130347,K3
O4349,F4,female,BRD,27,B2,0.728814,0.165738,0.105448,K2
U4915,F4,male,BRD,55,B2,0.99998,1e-5,1e-5,K2
R493,F1,female,BRD,22,B2,0.207366,0.052533,0.740102,K1
O4638,F4,female,BRD,13,B2,0.821163,0.115987,0.06285,K2
O3720,F4,female,BRD,39,B2,0.328357,0.514414,0.157229,K3
O4906,F4,female,Control,25,B2,0.887487,0.066414,0.046099,K2
U6921,F4,male,BRD,23,B2,0.259583,0.525479,0.214938,K3
G3121,F2,female,BRD,26,B2,0.389157,0.576557,0.034285,K3
Y9682,F3,male,BRD,48,B2,0.569208,0.327002,0.10379,K2
R9504,F2,male,BRD,31,B1,1e-5,0.998913,0.001077,K3
R9499,F2,male,BRD,26,B1,0.197936,0.172166,0.629898,K1
R1156,F1,female,BRD,14,B2,0.094253,0.796523,0.109224,K3
W3169,F3,female,BRD,33,B2,0.244848,0.633222,0.12193,K3
R5080,F2,male,BRD,29,B1,0.010238,0.989752,1e-5,K3
R9900,F2,male,BRD,16,B1,0.817647,0.076881,0.105472,K2
Y3059,F1,male,BRD,12,B2,0.288683,0.559001,0.152315,K3
R5972,F2,male,BRD,30,B1,0.85532,0.092604,0.052077,K2
O4713,F4,female,BRD,20,B2,0.009972,1e-5,0.990018,K1
G3068,F2,female,BRD,32,B2,0.135811,1e-5,0.864179,K1
R9830,F2,male,BRD,19,B1,0.241963,0.390278,0.367759,K3
R9556,F2,male,BRD,31,B1,0.127013,0.82267,0.050318,K3
R9627,F2,male,BRD,18,B1,0.999485,5.05e-4,1e-5,K2
P4735,F3,male,BRD,47,B2,0.216304,0.408175,0.37552,K3
U6879,F4,male,BRD,16,B2,0.370503,0.44015,0.189348,K3
R1111,F3,female,BRD,51,B2,1e-5,0.728367,0.271623,K3
U6892,F4,male,BRD,15,B2,0.048812,0.110409,0.840779,K1
O4328,F4,female,BRD,23,B2,0.001541,1e-5,0.998449,K1
P4492,F3,male,Control,50,B2,0.052407,0.427662,0.519931,K1
O5096,F4,female,BRD,12,B2,0.021849,1e-5,0.978141,K1
U6679,F4,male,BRD,17,B2,0.187151,0.812839,1e-5,K3
O5245,F4,female,BRD,7,B2,0.108729,1e-5,0.891261,K1
O5076,F4,female,BRD,11,B2,0.341252,0.608248,0.050501,K3
O5108,F4,female,BRD,13,B2,1e-5,0.065019,0.934971,K1
P4744,F3,male,BRD,38,BNA,0.124324,0.82208,0.053596,K3
P4772,F3,male,Control,46,BNA,0.225694,0.518568,0.255738,K3
R8953,F1,female,Control,21,BNA,0.31024,0.154271,0.53549,K1
U5416,F4,male,Control,53,BNA,0.763865,0.115527,0.120608,K2
R9518,F2,male,Control,NA,B1,NA,NA,NA,NA
R9909,F2,male,Control,NA,B1,NA,NA,NA,NA
